,zip,city,cases,n_killed,n_injured,population,rate,High school or higher,Bachelor or higher,poverty,unemployment
0,01002,New York (Manhattan),1.0,0.0,0.0,30280.0,0.03302509907529722,95.4,67.0,31.3,7.2
1,01010,New York,1.0,1.0,1.0,3724.0,0.26852846401718583,93.8,37.0,4.2,7.6
2,01013,New York (Manhattan),5.0,0.0,0.0,23026.0,0.21714583514288197,80.6,17.4,18.6,8.7
3,01020,New York (Manhattan),10.0,3.0,3.0,30148.0,0.33169696165583124,87.9,16.2,10.6,7.3
4,01027,New York (Manhattan),1.0,0.0,0.0,17870.0,0.05595970900951315,95.2,35.5,10.0,6.5
5,01034,Corona (Queens),1.0,0.0,0.0,2313.0,0.4323389537397319,95.0,30.5,8.1,4.7
6,01040,New York (Manhattan),19.0,4.0,4.0,40362.0,0.4707398047668599,79.0,24.1,28.6,10.2
7,01056,New York (Manhattan),1.0,0.0,0.0,21331.0,0.04688012751394684,83.7,23.7,5.8,5.4
8,01060,New York (Manhattan),1.0,0.0,0.0,15729.0,0.06357683260219976,95.4,61.8,14.7,5.4
9,01077,New York (Manhattan),1.0,0.0,0.0,9711.0,0.10297600659046442,89.6,35.0,7.2,4.8
10,01085,New York (Manhattan),1.0,0.0,0.0,41652.0,0.02400845097474311,92.2,32.0,8.4,6.4
11,01089,New York (Manhattan),6.0,2.0,2.0,28671.0,0.20927069163963588,89.3,31.2,12.1,7.6
12,01103,Yuma,9.0,0.0,0.0,2409.0,3.7359900373599007,67.4,21.9,55.5,13.3
13,01104,New York (Manhattan),7.0,1.0,1.0,23635.0,0.2961709329384387,74.7,12.7,29.1,11.6
14,01105,New York (Manhattan),20.0,1.0,1.0,11601.0,1.72398931126627,66.3,12.1,53.5,17.1
15,01106,New York,1.0,0.0,0.0,16048.0,0.06231306081754737,96.4,65.4,3.8,4.6
16,01107,New York (Manhattan),9.0,2.0,2.0,11304.0,0.7961783439490445,55.0,11.6,42.9,22.7
17,01108,Rockford,25.0,2.0,2.0,28925.0,0.8643042350907519,75.3,18.3,30.9,10.4
18,01109,New York (Manhattan),44.0,7.0,7.0,30125.0,1.4605809128630705,77.9,15.1,29.8,10.9
19,01118,Lawrence,2.0,0.0,0.0,14774.0,0.13537295248409367,90.1,31.4,14.7,5.7
20,01119,Chicago,1.0,0.0,0.0,13236.0,0.07555152614082804,84.2,21.3,17.1,10.1
21,01129,New York (Manhattan),1.0,0.0,0.0,6750.0,0.14814814814814814,89.2,28.4,10.5,5.9
23,01201,Tucson,32.0,3.0,3.0,44775.0,0.7146845337800112,90.2,28.8,14.6,7.8
24,01247,Daphne,3.0,0.0,0.0,15703.0,0.19104629688594538,85.2,24.4,16.6,9.5
25,01301,New York (Manhattan),5.0,1.0,1.0,17715.0,0.2822466836014677,92.6,31.8,13.0,5.2
26,01339,New York (Manhattan),1.0,0.0,0.0,1472.0,0.6793478260869565,93.2,32.6,11.5,7.5
27,01354,New York (Manhattan),1.0,0.0,0.0,1604.0,0.6234413965087281,97.7,48.4,5.8,4.2
28,01379,New York (New York City),1.0,1.0,1.0,836.0,1.1961722488038278,93.2,46.3,17.8,7.1
29,01420,New York (New York City),20.0,0.0,0.0,40666.0,0.4918113411695274,82.4,20.7,17.9,10.1
30,01432,New York (Manhattan),1.0,0.0,0.0,7703.0,0.12981955082435415,95.5,40.4,12.2,4.2
31,01440,New York (Manhattan),2.0,0.0,0.0,20496.0,0.09758001561280251,87.7,18.6,16.7,5.8
32,01453,Joliet,2.0,0.0,0.0,41446.0,0.04825556145345751,86.3,28.1,13.4,5.8
33,01462,Jacksonville,2.0,0.0,0.0,11150.0,0.17937219730941703,93.6,35.4,8.3,3.7
34,01463,Kansas City,2.0,0.0,0.0,12049.0,0.16598887874512408,94.3,37.7,5.6,5.5
35,01501,New York (Manhattan),1.0,0.0,0.0,16412.0,0.06093102607847917,93.3,38.3,4.6,5.9
36,01504,New York (Manhattan),1.0,0.0,0.0,9201.0,0.10868383871318334,94.2,31.1,4.0,5.7
37,01506,New York (Manhattan),1.0,0.0,0.0,3406.0,0.2935995302407516,87.3,30.9,9.2,5.2
38,01532,New York (Manhattan),2.0,0.0,0.0,14918.0,0.1340662287169862,95.8,55.3,3.7,4.3
39,01535,New York (Manhattan),1.0,0.0,0.0,4760.0,0.21008403361344538,92.4,24.7,6.3,5.0
40,01543,New York (Manhattan),1.0,0.0,0.0,8463.0,0.11816140848398914,98.0,45.1,2.3,4.1
41,01545,New York (Manhattan),1.0,1.0,1.0,36269.0,0.027571755493672283,94.1,56.7,3.9,4.4
42,01550,New York (Manhattan),1.0,0.0,0.0,16858.0,0.059319017677067265,82.1,15.9,18.5,8.3
43,01562,New York (Manhattan),2.0,1.0,1.0,11856.0,0.16869095816464239,88.6,22.6,12.2,4.7
44,01569,New York (Manhattan),3.0,0.0,0.0,13864.0,0.2163877668782458,95.2,35.9,8.3,8.0
45,01570,New York (Manhattan),2.0,0.0,0.0,16926.0,0.11816140848398914,85.1,23.7,12.0,9.3
46,01602,New York (Manhattan),3.0,0.0,0.0,24166.0,0.12414135562360341,91.8,46.7,12.9,5.4
47,01603,New York (Manhattan),9.0,0.0,0.0,19981.0,0.4504279065111856,81.4,20.0,23.2,8.2
48,01604,New York (Manhattan),19.0,0.0,0.0,36772.0,0.5166974872185358,87.4,27.9,19.9,7.3
49,01605,New York (Manhattan),16.0,0.0,0.0,28742.0,0.5566766404564748,81.9,24.6,27.6,7.6
50,01606,New York (Manhattan),3.0,0.0,0.0,19375.0,0.15483870967741936,92.8,37.5,8.8,6.6
51,01607,New York (Manhattan),3.0,0.0,0.0,8698.0,0.34490687514371116,83.5,23.0,16.6,6.3
52,01608,New York (Manhattan),6.0,0.0,0.0,3371.0,1.7798872738059923,70.9,24.4,50.5,16.5
53,01609,New York (Manhattan),7.0,0.0,0.0,20714.0,0.33793569566476783,83.4,43.5,25.6,7.7
54,01610,New York (Manhattan),11.0,0.0,0.0,23438.0,0.46932332110248315,73.2,14.1,32.5,9.7
55,01701,New York (Manhattan),3.0,0.0,0.0,32098.0,0.09346376721291047,95.7,58.6,5.2,4.0
56,01702,New York (Manhattan),4.0,0.0,0.0,39226.0,0.10197318105338296,84.1,36.2,17.0,5.8
57,01746,New York (Manhattan),1.0,0.0,0.0,14480.0,0.06906077348066299,96.6,62.3,1.4,4.8
58,01747,New York,2.0,0.0,0.0,5955.0,0.33585222502099077,93.4,40.3,4.2,4.9
59,01748,New York (Manhattan),2.0,0.0,0.0,16720.0,0.11961722488038279,97.0,68.2,1.5,4.4
60,01752,New York (Manhattan),3.0,0.0,0.0,39771.0,0.075431847325941,91.6,39.3,6.5,4.8
61,01757,New York (Manhattan),4.0,0.0,0.0,28694.0,0.1394019655677145,91.9,36.7,7.9,5.4
62,01760,New York (Manhattan),2.0,0.0,0.0,35715.0,0.05599888002239955,96.8,67.6,3.5,3.9
63,01776,New York (Manhattan),1.0,0.0,0.0,18697.0,0.053484516232550676,99.1,78.5,3.1,3.7
64,01810,New York (Manhattan),1.0,0.0,0.0,35375.0,0.028268551236749116,97.4,73.7,4.4,4.4
65,01824,New York (Manhattan),2.0,0.0,0.0,25961.0,0.07703863487539002,96.7,54.1,3.2,3.9
66,01830,New York (Manhattan),10.0,1.0,1.0,26524.0,0.37701704117026086,87.1,26.1,13.4,7.1
67,01832,New York (Manhattan),2.0,0.0,0.0,23372.0,0.08557247989046722,88.5,31.0,13.8,6.0
68,01835,New York (Manhattan),1.0,1.0,1.0,13047.0,0.07664597225415803,95.1,35.8,8.8,3.6
69,01840,New York (Manhattan),2.0,2.0,2.0,5248.0,0.38109756097560976,61.2,13.0,30.1,11.9
70,01841,New York (Manhattan),19.0,4.0,4.0,48295.0,0.3934154674396935,64.9,8.6,26.0,11.4
71,01843,New York (Manhattan),7.0,2.0,2.0,25942.0,0.26983270372369134,74.0,15.9,19.7,9.6
72,01844,New York (Manhattan),6.0,0.0,0.0,49587.0,0.12099945550245023,88.2,29.2,9.4,6.5
73,01850,New York (Manhattan),6.0,0.0,0.0,16890.0,0.3552397868561279,83.7,14.8,25.4,8.3
74,01851,New York (Manhattan),13.0,2.0,2.0,29849.0,0.43552547824047705,78.0,24.2,20.1,8.9
75,01852,New York (Manhattan),12.0,0.0,0.0,34756.0,0.3452641270571988,80.2,26.7,20.4,8.4
76,01854,New York (Manhattan),10.0,0.0,0.0,29561.0,0.33828354927099896,79.4,19.4,25.8,8.0
77,01862,New York (Manhattan),2.0,0.0,0.0,10676.0,0.18733608092918697,90.0,31.7,5.3,5.7
78,01876,Aurora,2.0,0.0,0.0,30433.0,0.06571813491933098,94.1,33.9,5.4,4.6
79,01879,New York (Manhattan),4.0,0.0,0.0,12305.0,0.32507110930516053,95.5,45.5,7.0,4.5
80,01901,New York (Manhattan),8.0,1.0,1.0,1878.0,4.259850905218317,72.5,17.6,24.6,7.0
81,01902,New York (Manhattan),90.0,2.0,2.0,48218.0,1.8665228752747935,75.8,17.4,21.6,7.0
82,01904,New York (Manhattan),23.0,1.0,1.0,17320.0,1.327944572748268,91.3,28.9,6.6,5.0
83,01905,New York (Manhattan),42.0,1.0,1.0,25590.0,1.64126611957796,77.0,17.0,19.2,6.0
84,01906,New York (Manhattan),7.0,0.0,0.0,28037.0,0.2496700788244106,90.6,26.5,8.1,7.4
85,01907,Corona (Queens),2.0,0.0,0.0,14758.0,0.13551971811898633,95.3,54.3,6.1,4.5
86,01913,New York (Manhattan),1.0,0.0,0.0,17218.0,0.058078754791497274,94.2,41.8,4.9,4.8
87,01915,New York (Manhattan),3.0,0.0,0.0,41431.0,0.07240954840578312,94.3,48.2,8.3,5.3
88,01930,New York (Manhattan),1.0,0.0,0.0,29858.0,0.03349186147766093,90.9,38.6,8.5,6.1
89,01938,Kelso,1.0,0.0,0.0,13810.0,0.0724112961622013,96.8,51.2,7.1,4.9
90,01940,New York (Manhattan),1.0,0.0,0.0,13425.0,0.07448789571694599,96.0,52.8,2.2,7.5
91,01945,New York (Manhattan),2.0,0.0,0.0,20393.0,0.09807286814102878,97.6,70.3,4.6,4.6
92,01950,New York (Manhattan),1.0,1.0,1.0,17890.0,0.05589714924538848,96.9,61.0,7.0,6.1
93,01952,New York (Manhattan),1.0,0.0,0.0,9035.0,0.11068068622025456,93.0,29.9,9.7,6.5
94,01960,New York (Manhattan),12.0,2.0,2.0,52313.0,0.2293884885210177,89.8,30.7,9.8,5.2
95,01970,New York (Manhattan),3.0,0.0,0.0,42991.0,0.06978204740527087,91.0,41.2,15.3,5.6
96,02021,Staten Island,1.0,0.0,0.0,22829.0,0.04380393359323667,97.0,56.4,6.0,6.1
97,02025,Staten Island,1.0,0.0,0.0,8393.0,0.11914690813773382,98.3,73.3,3.8,6.0
98,02035,Staten Island,1.0,2.0,2.0,17448.0,0.05731315910132966,94.6,48.8,4.9,6.0
99,02038,Staten Island,1.0,0.0,0.0,32843.0,0.030447888438936758,96.1,56.0,4.3,5.4
100,02043,Staten Island,3.0,1.0,1.0,23047.0,0.13016878552523103,98.5,69.7,5.7,3.6
101,02045,Staten Island,1.0,0.0,0.0,10402.0,0.09613535858488753,95.8,44.1,4.9,6.7
102,02048,Staten Island,1.0,0.0,0.0,23678.0,0.04223329673114283,97.4,55.4,2.7,6.1
103,02050,Staten Island,2.0,0.0,0.0,26032.0,0.07682851874615858,95.6,43.9,6.9,5.0
104,02072,Staten Island,5.0,0.0,0.0,28338.0,0.1764415272778601,90.7,36.7,8.3,6.3
105,02108,Staten Island,3.0,0.0,0.0,4211.0,0.7124198527665637,96.3,83.6,10.7,8.2
106,02109,Staten Island,2.0,0.0,0.0,4051.0,0.4937052579609973,94.0,74.6,13.1,5.6
107,02110,Staten Island,3.0,0.0,0.0,2270.0,1.3215859030837005,100.0,84.7,9.9,1.0
108,02111,Staten Island,5.0,1.0,1.0,7452.0,0.6709608158883521,75.2,54.0,22.7,9.5
109,02114,Staten Island,4.0,1.0,1.0,13247.0,0.30195515965879066,95.9,81.5,13.7,3.9
110,02115,Staten Island,2.0,1.0,1.0,29244.0,0.0683900971139379,88.0,64.1,35.5,12.4
111,02116,Staten Island,5.0,1.0,1.0,23215.0,0.21537798836958863,92.7,76.5,10.8,4.9
112,02118,Staten Island,10.0,2.0,2.0,27325.0,0.36596523330283626,85.2,58.3,25.0,6.5
113,02119,Staten Island,64.0,4.0,4.0,28152.0,2.2733731173628873,75.7,25.2,30.7,11.2
114,02120,Staten Island,21.0,4.0,4.0,15719.0,1.3359628475093837,84.7,41.1,42.1,14.9
115,02121,Staten Island,61.0,3.0,3.0,28479.0,2.1419291407703924,76.9,15.4,34.4,14.1
